fd_code,fd_name,yield,sf_type,unit_nav,f_type
001626,国泰央企改革股票,37.8378,1,1.6320,fund
519694,交银蓝筹股票,37.5738,1,0.7282,fund
000979,景顺长城沪港深精选,37.4665,1,1.5410,fund
005635,博时量化多策略A,37.2002,1,1.4417,fund
002730,华富华鑫混合A,36.8574,1,1.4110,fund
399011,中海医疗保健主题股票,36.7185,1,1.4480,fund
001313,上投摩根智慧互联股票,36.5106,1,0.9624,fund
005612,嘉实核心优势股票,36.2161,1,1.4097,fund
003865,创金合信量化多因子C,36.2007,1,1.6340,fund
001849,前海开源强势共识100强,34.3779,1,1.4580,fund
005636,博时量化多策略C,33.8868,1,1.3951,fund
002871,华夏智胜价值成长股票A,33.7173,1,1.2885,fund
001291,大摩量化多策略股票,33.6758,1,1.1710,fund
003053,嘉实文体娱乐股票A,33.3032,1,1.4730,fund
460009,华泰柏瑞量化先行,33.2421,1,1.9480,fund
000955,南方产业活力,33.0116,1,1.3780,fund
006346,安信量化优选股票A,32.3215,1,1.7960,fund
000411,景顺长城优质成长,31.5746,1,1.5960,fund
003054,嘉实文体娱乐股票C,31.2614,1,1.4360,fund
519068,汇添富成长焦点,30.7863,1,2.5238,fund
006347,安信量化优选股票C,30.7204,1,1.7727,fund
001703,银华沪港深增长股票,30.3247,1,2.0070,fund
006938,鹏华中证500指数证券投资基金（LOF）,29.9623,1,1.7220,fund
005328,前海开源价值策略,29.9127,1,1.1457,fund
005113,平安沪深300指数量化增强A,29.5566,1,1.2738,fund
001048,富国新兴产业股票,29.5013,1,1.5320,fund
005502,华泰紫金智能量化股票发起A,28.8198,1,1.2225,fund
002621,中欧消费主题股票A,28.3818,1,2.0310,fund
005620,中欧品质消费股票A,28.1296,1,1.4642,fund
001188,鹏华改革红利,28.0255,1,1.2060,fund
163110,申万菱信量化小盘股票,27.8695,1,2.0684,fund
005114,平安沪深300指数量化增强C,27.5380,1,1.2412,fund
005870,鹏华沪深300指数增强,27.4009,1,1.3279,fund
001663,中银互联网+股票,27.3109,1,1.2120,fund
519606,国泰金鑫股票,27.2600,1,1.8160,fund
540010,汇丰晋信科技先锋股票,27.0630,1,2.3743,fund
167503,安信一带一路指数,26.1128,1,1.4910,fund
002697,中欧消费主题股票C,25.7700,1,2.0010,fund
005621,中欧品质消费股票C,25.5284,1,1.4260,fund
200006,长城消费增值股票,25.1065,1,1.1750,fund
000978,景顺长城量化精选,25.0540,1,1.7370,fund
006193,鑫元核心资产股票A,24.8945,1,1.3315,fund
002952,建信多因子量化股票,24.7510,1,1.2273,fund
005516,银华中小市值量化优选股票C,23.9096,1,1.1733,fund
005960,博时量化价值股票A,23.6551,1,1.3952,fund
006939,鹏华沪深300指数证券投资基金（LOF）,23.3271,1,1.4030,fund
005569,中融智选红利股票A,22.7038,1,1.3279,fund
006194,鑫元核心资产股票C,22.5964,1,1.3032,fund
001105,信达澳银转型创新,22.3140,1,0.8880,fund
005894,华夏优势精选股票,22.1031,1,1.4573,fund
