fd_code,fd_name,yield,sf_type,unit_nav,f_type
160522,博时睿益事件驱动LOF,83.8359,3,1.5240,fund
519756,交银国企改革混合,83.6873,3,1.9030,fund
519150,新华优选消费混合,83.5408,3,3.1257,fund
002983,长信军工量化混合,83.5343,3,1.4457,fund
002145,诺安景鑫灵活配置混合,83.5231,3,1.7732,fund
000940,富国中小盘精选,83.5035,3,2.3360,fund
006168,德邦乐享生活混合C,83.3303,3,1.7886,fund
000136,民生加银策略精选,83.3032,3,4.0620,fund
005265,博时厚泽回报混合A,83.2449,3,1.7140,fund
001543,宝盈新锐混合A,83.2250,3,2.8180,fund
001140,工银总回报混合,83.0226,3,1.8650,fund
004604,富国新活力灵活配置混合A,82.9565,3,2.3788,fund
070027,嘉实周期优选混合,82.9369,3,3.5380,fund
005618,融通红利机会混合A,82.8515,3,1.9481,fund
168106,九泰盈华量化混合A,82.7936,3,1.5861,fund
005609,富国军工主题混合,82.7554,3,1.7709,fund
240002,华宝宝康灵活配置,82.7252,3,3.4632,fund
519120,浦银安盛新兴产业混合A,82.7230,3,3.4827,fund
270022,广发内需增长混合A,82.6428,3,1.6310,fund
206002,鹏华精选成长混合,82.4911,3,2.5640,fund
003940,银华盛世精选混合,82.4685,3,2.0403,fund
310368,申万菱信竞争优势混合A,82.4452,3,2.1295,fund
006049,恒越研究精选混合A,82.4413,3,2.0760,fund
005851,财通新视野混合A,82.3995,3,2.0053,fund
000574,宝盈新价值混合A,82.0937,3,2.6440,fund
001955,中欧养老混合,81.9463,3,2.7110,fund
002844,金鹰多元策略混合,81.9302,3,2.2583,fund
163409,兴全绿色投资,81.7487,3,1.9230,fund
002662,前海开源沪港深大消费A,81.5466,3,2.0660,fund
006881,华宝大健康混合,81.5347,3,1.8050,fund
004846,南华瑞盈混合C,81.4286,3,1.2319,fund
001037,国投瑞银锐意改革混合,81.1296,3,0.9550,fund
320018,诺安新动力混合,81.0825,3,3.5130,fund
007192,恒越研究精选混合C,81.0455,3,2.0641,fund
003822,中信建投轮换混合A,81.0427,3,2.1669,fund
481015,工银主题策略混合,81.0226,3,3.6820,fund
000609,华商新量化混合,81.0051,3,2.1250,fund
001357,泓德泓富混合A,80.9423,3,1.5811,fund
217020,招商安达灵活配置混合,80.9226,3,2.3140,fund
002663,前海开源沪港深大消费C,80.9187,3,2.0480,fund
006179,富国品质生活混合,80.9130,3,1.8151,fund
002955,融通新趋势混合,80.9035,3,1.7620,fund
002345,华夏高端制造混合,80.7494,3,1.3990,fund
002319,大成一带一路混合,80.6420,3,1.8570,fund
000294,华安生态优先混合,80.6407,3,3.6630,fund
002095,博时新收益混合A,80.6378,3,1.2422,fund
004987,诺德新享灵活配置混合,80.6217,3,1.5534,fund
270050,广发新经济混合,80.5348,3,3.6793,fund
001603,易方达安盈回报混合,80.5264,3,2.1540,fund
163001,长信医疗保健行业混合,80.5085,3,1.7040,fund
005543,银华心诚混合,80.4920,3,1.6732,fund
360006,光大新增长混合,80.4417,3,1.4039,fund
000120,中银美丽中国混合,80.4170,3,2.4230,fund
005642,鹏扬景升混合A,80.4066,3,1.9612,fund
005695,华安睿明两年定开A,80.2832,3,1.2897,fund
004605,富国新活力灵活配置混合C,80.2604,3,2.3533,fund
005186,长安鑫兴混合A,80.1547,3,1.9336,fund
005619,融通红利机会混合C,80.0981,3,1.9085,fund
580002,东吴双动力混合,80.0924,3,0.8031,fund
