found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year,yield
2008-06-19,217010,郭锐,11亿,招商大盘蓝筹基金,招商基金管理有限公司,2.6390,2015-04-01,15,75.8161
2014-09-23,000780,郎超,9亿,鹏华医疗保健股票,鹏华基金管理有限公司,2.0130,2018-04-12,10,74.1349
2015-06-02,001230,金笑非,20亿,鹏华医药科技,鹏华基金管理有限公司,0.9820,2016-06-24,10,74.1135
2014-12-10,000866,贺喆,2亿,华宝高端制造,华宝基金管理有限公司,2.0220,2018-08-24,12,73.8607
2017-06-21,002861,农冰立,2亿,工银智能制造股票,工银瑞信基金管理有限公司,1.4220,2018-06-22,8,73.8386
2016-01-26,001956,潘明,11亿,国联安科技动力,国联安基金管理有限公司,1.6290,2016-01-26,13,73.3716
2016-02-23,001781,刘克飞,1755万,建信现代服务业股票,建信基金管理有限责任公司,1.8480,2021-01-25,10,73.3583
2016-08-22,003191,陈建军,2亿,创金合信消费主题股票C,创金合信基金管理有限公司,2.3081,2019-05-30,9,72.7620
2015-03-30,320022,王创练,10亿,诺安研究精选股票,诺安基金管理有限公司,2.0320,2015-03-30,25,72.4958
2017-11-29,005268,陈璇淼,6亿,鹏华优势企业,鹏华基金管理有限公司,1.6995,2017-11-29,10,72.4680
2018-03-02,002289,李双全,1亿,华商改革创新,华商基金管理有限公司,1.9174,2018-03-02,12,72.4436
2016-08-09,002872,孙蒙,3亿,华夏智胜价值成长股票C,华夏基金管理有限公司,1.2744,2020-03-17,8,71.7289
2010-12-20,376510,朱晓龙,3亿,上投摩根大盘蓝筹股票,上投摩根基金管理有限公司,2.7899,2019-07-19,15,71.5806
2013-10-29,000309,何晓春,3亿,大摩华鑫品质生活精选股票型证券投资基金,,3.1600,2018-02-10,12,71.3666
2015-02-04,519975,左金保,5亿,长信量化中小盘股票型证券投资基金,长信基金管理公司,1.4250,2015-03-13,12,71.2740
2017-09-28,005106,唐能,13亿,银华农业产业股票,银华基金管理股份有限公司,2.0936,2021-06-11,13,70.7946
2014-12-02,000854,王宗合,9亿,鹏华养老产业股票,鹏华基金管理有限公司,3.0190,2014-12-02,16,70.3725
2015-01-26,000971,杨琨,15亿,诺安新经济股票,诺安基金管理有限公司,1.4850,2019-02-20,14,70.2982
2018-11-23,006478,王宁,1亿,长盛多因子股票,长盛基金管理有限公司,1.4027,2021-08-26,24,70.1698
2017-03-20,001725,赵鹏飞,21亿,添富高端制造,汇添富基金管理股份有限公司,2.2620,2017-03-20,14,69.5652
2015-04-29,001163,薄官辉,7亿,银华中国梦30股票,银华基金管理股份有限公司,1.8410,2015-04-29,18,69.3652
2015-05-12,001208,蔡宇滨,8亿,诺安低碳经济股票A,诺安基金管理有限公司,2.0440,2019-01-22,13,68.7861
2015-09-01,001672,张琦,4亿,国寿安保智慧生活股票,国寿安保基金管理有限公司,1.6920,2015-09-23,17,68.0876
2016-02-03,002300,周思聪,2亿,长盛医疗量化股票,长盛基金管理有限公司,1.8700,2019-05-22,14,67.8636
2015-06-23,001396,何珅华,3亿,建信互联网+产业升级,建信基金管理有限责任公司,1.1580,2015-06-23,12,67.8261
2014-12-11,000893,杨鑫鑫,6亿,工银创新动力股票,工银瑞信基金管理有限公司,0.9330,2019-02-28,14,67.5045
2015-06-05,001409,单文,44亿,工银互联网加股票,工银瑞信基金管理有限公司,0.5490,2020-12-02,13,66.8693
2010-11-23,450009,赵晓东,47亿,国富中小盘股票,国海富兰克林基金管理有限公司,2.4100,2010-11-23,24,66.8225
2010-08-12,164205,刘国江,4亿,天弘文化新兴产业股票A,天弘基金公司,2.1961,2021-02-26,14,66.4469
2014-09-17,000751,归凯,106亿,嘉实新兴产业股票,嘉实基金管理有限公司,3.7260,2018-12-04,16,66.1168
2018-11-14,004350,吴培文,2亿,汇丰晋信价值先锋股票,汇丰晋信基金管理有限公司,2.1204,2019-05-18,13,65.8895
2018-02-08,005189,纪君凯,3亿,海富通量化前锋股票型证券投资基金A,海富通基金管理有限公司,1.4201,2020-07-03,6,65.4346
2014-04-14,000549,翁启森,1亿,华安大国新经济股票,华安基金管理有限公司,2.9530,2014-04-15,28,64.5125
2015-08-07,001541,卞正,2亿,添富民营新动力,汇添富基金管理股份有限公司,1.3720,2022-02-21,10,64.5084
2017-12-14,004995,陈樱子 孙迪,3亿,广发品牌消费股票,广发基金管理有限公司,1.5924,2017-12-14,13,64.4702
2019-01-17,006712,黄玥,1亿,前海开源MSCI中国A股消费A,前海开源基金管理有限公司,2.0010,2020-12-18,19,63.9626
2018-02-08,005188,纪君凯,3亿,海富通量化前锋股票型证券投资基金C,海富通基金管理有限公司,1.4248,2020-07-03,6,63.4940
2011-09-21,710001,栾庆帅 吴战峰,8亿,富安达优势成长股票,富安达基金管理有限公司,3.3019,2016-01-09,27,63.0085
2015-12-02,001726,刘伟林,4亿,添富新兴消费,汇添富基金管理股份有限公司,1.5730,2015-12-02,14,62.8364
2018-02-13,003069,翟云飞,2亿,光大保德信创业板优选A,光大保德信基金管理有限公司,1.5387,2018-02-13,12,62.1562
2017-08-01,004040,韩广哲,10亿,金鹰医疗健康股票A,金鹰基金管理有限公司,1.5792,2019-10-30,15,61.4947
2016-01-20,001605,徐成,55亿,国富沪港深成长精选股票,国海富兰克林基金管理有限公司,1.9810,2017-07-08,16,61.3192
2014-12-19,000884,金耀,2亿,民生加银优选股票,民生加银基金管理有限公司,1.8210,2021-12-01,12,60.4535
2016-05-11,002076,胡羿 向伟,15亿,浙商中证500指数增强A,浙商基金管理有限公司,1.5683,2020-11-30,7,60.4399
2015-03-17,001028,翁启森,4亿,华安物联网主题股票,华安基金管理有限公司,1.1690,2015-03-17,28,60.3567
2014-04-21,000577,陈一峰,28亿,安信价值精选股票,安信基金管理有限责任公司,4.6010,2014-04-21,14,60.3136
2018-09-26,671030,张昌平,4亿,西部利得事件驱动股票,西部利得基金管理有限公司,2.0272,2020-11-05,14,59.9495
2015-05-26,001195,杨柯,7亿,工银农业产业股票,工银瑞信基金管理有限公司,1.1310,2015-05-26,14,59.7458
2017-08-01,004041,韩广哲,10亿,金鹰医疗健康股票C,金鹰基金管理有限公司,1.6435,2019-10-30,15,59.2626
2015-06-19,001404,张林,16亿,招商移动互联网股票,招商基金管理有限公司,1.1680,2019-06-14,12,58.6957
2014-12-08,000925,蔡志文 王栩,20亿,添富外延增长,汇添富基金管理股份有限公司,1.5720,2019-01-18,20,58.6276
2015-12-07,001637,刘斌 龙昌伦,6亿,嘉实腾讯自选股大数据策略股票,嘉实基金管理有限公司,1.7365,2021-11-26,16,58.4398
2009-06-19,217012,吴昊,3亿,招商行业领先股票,招商基金管理有限公司,2.0370,2014-10-31,16,58.1522
2018-11-29,006502,张胤 金梓才,1亿,财通集成电路A,财通基金管理有限公司,1.5752,2018-11-29,12,57.7250
2018-09-27,005826,王睿智 潘中宁,1亿,华夏潜龙精选股票,华夏基金管理有限公司,1.9004,2018-09-27,24,57.7226
2017-01-23,673090,童国林,2亿,西部利得个股精选股票A,西部利得基金管理有限公司,1.5876,2021-07-14,27,57.5782
2015-04-28,001162,肖立强,7428万,前海开源优势蓝筹A类,前海开源基金管理有限公司,1.5670,2020-07-20,12,57.4874
2017-01-25,003956,萧嘉倩,5亿,南方教育股票,南方基金管理股份有限公司,1.5851,2021-12-28,11,57.4551
2006-09-20,340006,王品,26亿,兴全全球视野,兴证全球基金管理有限公司,2.5727,2017-09-19,22,57.3709
2015-07-06,001638,肖立强,7428万,前海开源优势蓝筹C类,前海开源基金管理有限公司,1.7150,2020-07-20,12,57.0513
2017-12-28,005495,周志敏,3亿,创金合信科技成长股票A,创金合信基金管理有限公司,1.4787,2017-12-28,11,56.9412
2017-02-23,519193,高源,5亿,万家消费成长股票型证券投资基金,万家基金管理公司,2.3358,2017-11-14,17,56.8177
2015-11-03,001938,周蔚文 罗佳明 刘伟伟,223亿,中欧时代先锋股票A,中欧基金管理公司,1.3574,2021-12-17,23,56.7362
2015-10-28,000326,吴剑毅,2亿,南方中小盘成长股票,南方基金管理股份有限公司,1.3400,2018-11-03,14,56.7219
2016-06-08,002595,兰乔,7446万,博时工业4.0主题股票,博时基金管理有限公司,1.9220,2016-07-04,12,56.1332
2017-09-13,004730,薛玲,8321万,建信量化事件驱动,建信基金管理有限责任公司,1.4383,2017-09-13,9,55.8626
2006-07-18,160607,张华恩,19亿,鹏华价值优势股票型基金,鹏华基金公司,0.7490,2021-12-11,11,55.8374
2013-05-28,000082,肖觅 张露,7亿,嘉实研究阿尔法股票,嘉实基金管理有限公司,1.7160,2021-03-19,13,55.7046
2014-04-30,000586,李孟海,3亿,景顺长城中小创精选股票,景顺长城基金管理有限公司,2.2980,2015-03-03,14,55.6911
2017-07-07,004616,刘金辉 许文星,18亿,中欧电子信息产业沪港深股票A,中欧基金管理公司,2.0313,2020-05-18,8,55.6432
2014-08-13,000711,郝淼,13亿,嘉实医疗保健股票,嘉实基金管理有限公司,2.3960,2021-07-27,11,55.5844
2015-03-23,001044,谭丽,10亿,嘉实新消费股票,嘉实基金管理有限公司,2.1040,2017-04-11,21,55.0361
2017-12-28,005496,周志敏,3亿,创金合信科技成长股票C,创金合信基金管理有限公司,1.4433,2017-12-28,11,54.1658
2018-11-29,006503,张胤 金梓才,1亿,财通集成电路C,财通基金管理有限公司,1.5332,2018-11-29,12,53.9821
2014-05-29,000594,缪东航,8亿,摩根士丹利华鑫进取优选股票型证券投资基金,,2.4500,2021-04-17,12,53.8945
2015-01-13,000916,刘宏,2亿,前海开源股息率100强,前海开源基金管理有限公司,1.8650,2021-04-22,7,53.6244
