found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2015-10-28,000326,吴剑毅,2亿,南方中小盘成长股票,南方基金管理股份有限公司,1.3400,2018-11-03,14
2016-06-08,002595,兰乔,7446万,博时工业4.0主题股票,博时基金管理有限公司,1.9220,2016-07-04,12
2017-09-13,004730,薛玲,8321万,建信量化事件驱动,建信基金管理有限责任公司,1.4383,2017-09-13,9
2006-07-18,160607,张华恩,19亿,鹏华价值优势股票型基金,鹏华基金公司,0.7490,2021-12-11,11
2013-05-28,000082,肖觅 张露,7亿,嘉实研究阿尔法股票,嘉实基金管理有限公司,1.7160,2021-03-19,13
2014-04-30,000586,李孟海,3亿,景顺长城中小创精选股票,景顺长城基金管理有限公司,2.2980,2015-03-03,14
2017-07-07,004616,刘金辉 许文星,18亿,中欧电子信息产业沪港深股票A,中欧基金管理公司,2.0313,2020-05-18,8
2014-08-13,000711,郝淼,13亿,嘉实医疗保健股票,嘉实基金管理有限公司,2.3960,2021-07-27,11
2015-03-23,001044,谭丽,10亿,嘉实新消费股票,嘉实基金管理有限公司,2.1040,2017-04-11,21
2017-12-28,005496,周志敏,3亿,创金合信科技成长股票C,创金合信基金管理有限公司,1.4433,2017-12-28,11
2018-11-29,006503,张胤 金梓才,1亿,财通集成电路C,财通基金管理有限公司,1.5332,2018-11-29,12
2014-05-29,000594,缪东航,8亿,摩根士丹利华鑫进取优选股票型证券投资基金,,2.4500,2021-04-17,12
2015-01-13,000916,刘宏,2亿,前海开源股息率100强,前海开源基金管理有限公司,1.8650,2021-04-22,7
2015-02-12,001036,谢泽林,5亿,嘉实企业变革股票,嘉实基金管理有限公司,1.5170,2017-10-17,13
2015-08-21,001528,韩冬燕,2亿,诺安先进制造股票,诺安基金管理有限公司,2.2300,2015-11-05,18
2017-01-19,004241,周蔚文 罗佳明 刘伟伟,223亿,中欧时代先锋股票C,中欧基金管理公司,1.3163,2021-12-17,23
2014-02-10,000457,李博,14亿,上投摩根核心成长股票,上投摩根基金管理有限公司,2.4112,2014-12-31,13
2017-04-06,004292,王海青,1亿,鹏华沪深港互联网股票,鹏华基金管理有限公司,1.7339,2020-01-07,12
2009-12-11,540007,刘哲华,7291万,汇丰晋信中小盘股票,汇丰晋信基金管理有限公司,1.8393,2020-01-20,5
2018-04-23,005763,刘金辉 许文星,18亿,中欧电子信息产业沪港深股票C,中欧基金管理有限公司,2.0969,2020-05-18,8
2018-03-21,005505,范洁,5亿,前海开源中药股票A,前海开源基金管理有限公司,2.0568,2019-12-10,9
2016-11-02,003416,贾成东,1064万,招商财经大数据股票,招商基金管理有限公司,1.2337,2020-08-01,14
2012-05-28,320020,蔡宇滨,1亿,诺安策略精选股票,诺安基金管理有限公司,1.8720,2018-06-30,13
2018-03-21,005506,范洁,5亿,前海开源中药股票C,前海开源基金管理有限公司,2.0417,2019-12-10,9
2015-08-04,001542,彭凌志,11亿,国泰互联网+股票,国泰基金管理有限公司,2.4190,2015-12-01,15
